stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3909,1175,Cartier Colentina,,44.468524,26.142236,,,,
3910,1176,Raul Colentina,,44.466204,26.13737,,,,
3684,1177,Bucur Obor,,44.450873,26.125494,,,,
3685,1178,Fainari,,44.446949,26.122424,,,,
7069,1179,Gara de Nord,,44.447165,26.075363,,,,
6481,118,Spitalul Sf. Ioan,,44.391213,26.142508,,,,
7058,1182,Primaria Sector 1,,44.45312,26.073921,,,,
7057,1183,Piata Ion Mihalache,,44.458846,26.077008,,,,
7056,1184,Bd. Maresal Averescu,,44.462668,26.072128,,,,
7055,1185,Piata Domenii,,44.46539,26.067518,,,,
7054,1187,Scoala de 4 Ani,,44.402899,25.90307,,,,
7052,1189,Marin Dracea,,44.482995,26.108211,,,,
7045,1190,C.F.R. Constanta,,44.48601,26.113442,,,,
7036,1191,C.F.R. Constanta,,44.486722,26.115677,,,,
7033,1192,Pipera,,44.48394,26.10947,,,,
7040,1193,Marin Dracea,,44.483228,26.108199,,,,
7030,1197,Piata Charles de Gaulle,,44.465392,26.087846,,,,
7028,1198,Arcul de Triumf,,44.46759,26.078416,,,,
7080,1199,Bd. Maresal Averescu,,44.461466,26.073378,,,,
3436,12,Bd. Ferdinand,,44.444152,26.128577,,,,
3277,120,Carpati,,44.472556,26.048958,,,,
6883,1200,Piata Ion Mihalache,,44.458977,26.076573,,,,
6885,1201,Primaria Sector 1,,44.453598,26.074385,,,,
6880,1204,Primaria Domnesti,,44.398824,25.914794,,,,
6882,1205,Soseaua Panduri,,44.423718,26.074274,,,,
6881,1206,Piata Arsenalului,,44.425641,26.078268,,,,
6886,1207,Piata Unirii 2,,44.425826,26.102838,,,,
3246,121,Soseaua Chitilei,,44.476712,26.044584,,,,
6844,1211,Romaero,,44.493075,26.085639,,,,
6845,1212,Aeroportul Baneasa,,44.495509,26.077524,,,,
6848,1219,Bd. Gloriei,,44.483793,26.040284,,,,
3249,122,Minerva,,44.479251,26.037695,,,,
6842,1221,Jimbolia,,44.492486,26.033526,,,,
6840,1223,Intrare Sat Catelu,,44.405239,26.21155,,,,
6841,1224,Sebastian,,44.420506,26.064947,,,,
3630,1225,Maria Rosetti,,44.442471,26.109823,,,,
3631,1226,Maria Rosetti,,44.44211,26.109643,,,,
6838,1227,Soseaua Panduri,,44.423052,26.071924,,,,
6839,1228,Podul Ciorogarla,,44.40074,25.933411,,,,
3250,123,Crinului,,44.480923,26.033519,,,,
6837,1230,Jimbolia,,44.491296,26.034194,,,,
6834,1233,Izbiceni,,44.487567,26.047241,,,,
6835,1238,Brodina,,44.497542,26.073689,,,,
6836,1239,Aeroportul Baneasa,,44.4953,26.077683,,,,
3253,124,Subcetate,,44.482517,26.029567,,,,
6829,1243,Calea 13 Septembrie,,44.417648,26.058776,,,,
6831,1247,Margeanului,,44.413892,26.061394,,,,
6830,1249,Aleea Danubiana,,44.364424,26.193952,,,,
3241,125,Mezes,,44.485394,26.023005,,,,
6827,1250,Sere Militari,,44.410203,26.003121,,,,
6826,1253,Carol Davila,,44.432831,26.070366,,,,
6823,1254,Piata Unirii,,44.425689,26.105124,,,,
6825,1256,Soseaua Progresului,,44.42192,26.068907,,,,
6807,1260,Primaria Popesti-Leordeni,,44.380182,26.169098,,,,
6805,1261,Policolor 2,,44.43305,26.207258,,,,
6804,1266,Izvorul Rece,,44.386871,26.1098,,,,
6803,1267,Izvorul Crisului,,44.384223,26.109807,,,,
6802,1268,Lamotesti,,44.380703,26.109878,,,,
6791,1270,Anghel Alexandru,,44.378298,26.091488,,,,
6792,1271,Raducanu Cristea,,44.372907,26.090065,,,,
6788,1276,Raducanu Cristea,,44.373912,26.090559,,,,
6787,1277,Luica,,44.377745,26.091583,,,,
6790,1278,Covasna,,44.377826,26.11026,,,,
6789,1279,Lamotesti,,44.381434,26.110165,,,,
3245,128,Cimitirul Ghencea,,44.416519,26.052975,,,,
6775,1280,Izvorul Crisului,,44.385098,26.110066,,,,
6776,1281,Nitu Vasile,,44.386903,26.110023,,,,
3803,1282,Rasaritului,,44.434225,26.023415,,,,
6777,1283,Calea Rahovei,,44.413601,26.074785,,,,
3804,1285,Rasaritului,,44.434042,26.025323,,,,
3563,1286,Orsova,,44.440145,26.035383,,,,
6774,1287,Pecineaga,,44.4032,26.07281,,,,
6773,1288,Amurgului,,44.400383,26.070943,,,,
6772,1289,Complex Comercial,,44.397087,26.069988,,,,
3261,129,Drumul Sarii,,44.418676,26.059914,,,,
6767,1290,Bacau,,44.392711,26.069906,,,,
6768,1291,Complex Comercial,,44.397179,26.069094,,,,
6765,1292,Amurgului,,44.401005,26.071506,,,,
6766,1293,Pecineaga,,44.403673,26.073206,,,,
6769,1295,Cimitirul Militari,,44.441769,26.02269,,,,
3529,1298,Orsova,,44.440267,26.035344,,,,
3431,13,Soseaua Pantelimon,,44.445988,26.134246,,,,
3298,130,Sebastian,,44.420562,26.065538,,,,
3188,1308,Cutitul de Argint,,44.408906,26.097077,,,,
3296,131,Soseaua Progresului,,44.421834,26.070604,,,,
3100,1312,Adesgo,,44.41129,26.10034,,,,
3120,1321,Scoala Generala 81,,44.419272,26.115107,,,,
3126,1322,Bd. Octavian Goga,,44.423491,26.118492,,,,
3114,1325,Scoala Generala 81,,44.419399,26.115143,,,,
6438,1326,Platforma Metalurgiei,,44.376228,26.120524,,,,
6442,1330,I.M.G.B. Poarta 1,,44.368111,26.143609,,,,
6412,1331,I. M. G. B. Poarta 2,,44.361848,26.148389,,,,
6413,1332,I. M. G. B. Poarta 2,,44.361325,26.148913,,,,
6414,1333,I. M. G. B. Poarta 1,,44.367616,26.144134,,,,
6410,1341,Bd. Preciziei,,44.432285,26.005001,,,,
6409,1342,C.F.R. Cotroceni,,44.4293,26.002374,,,,
3619,1343,Sulitei,,44.401122,26.083688,,,,
6408,1344,Aurel Vlaicu,,44.479223,26.101733,,,,
3618,1345,Sulitei,,44.401225,26.08352,,,,
6407,1346,Brasov,,44.414633,26.035181,,,,
6406,1348,Soseaua Fabrica de Glucoza,,44.474966,26.10409,,,,
3762,135,Invingatorilor,,44.42943,26.130861,,,,
6405,1352,Valea Ialomitei,,44.421524,26.012797,,,,
6418,1353,Sala Lucian Grigorescu,,44.464378,26.095723,,,,
6419,1354,Mircea Eliade,,44.46552,26.10192,,,,
6420,1355,Calea Floreasca,,44.46594,26.10136,,,,
3649,1357,Adesgo,,44.411398,26.100405,,,,
6501,136,Cornisor,,44.473502,26.154807,,,,
3640,1362,Cutitul de Argint,,44.408803,26.096898,,,,
8509,1369,Ferma Zurbaua,,44.48272,25.923596,,,,
8508,1371,Ferma Zurbaua,,44.482448,25.923987,,,,
6396,1376,Berzei,,44.439903,26.080602,,,,
6397,1377,Spitalul Universitar,,44.434891,26.073373,,,,
6395,1385,Soseaua de Centura,,44.438379,25.966161,,,,
6390,1388,Secuilor,,44.391667,26.109779,,,,
6389,1389,Secuilor,,44.392368,26.109925,,,,
3791,1394,Piata Leul,,44.434667,26.05811,,,,
6388,1395,Laromet,,44.495027,26.030455,,,,
3316,140,Piata Ion Mihalache,,44.457795,26.078243,,,,
6061,1400,Pod Eroilor,,44.435034,26.07379,,,,
6058,1401,Berzei,,44.439563,26.08043,,,,
6059,1402,Cismigiu,,44.439817,26.089976,,,,
6060,1403,Bd. Nicolae Balcescu,,44.439081,26.099924,,,,
6054,1405,Penes Curcanul,,44.412214,26.12837,,,,
3303,1409,Gramont,,44.421354,26.095756,,,,
3320,141,Bd. Maresal Averescu,,44.462042,26.072834,,,,
5931,1416,Perla,,44.453671,26.098449,,,,
5930,1417,Pasaj Colentina,,44.478167,26.16396,,,,
5925,1419,Piata Charles de Gaulle,,44.465314,26.087532,,,,
5947,1420,Piata Dorobanti,,44.459762,26.093559,,,,
5949,1421,Soseaua Stefan cel Mare,,44.453835,26.098175,,,,
5948,1422,Institutul Meteorologic,,44.501844,26.210148,,,,
5953,1423,Soseaua Afumati,,44.514863,26.235632,,,,
5951,1424,Doraly,,44.505868,26.217995,,,,
5981,1438,Doraly,,44.504881,26.215787,,,,
5979,1439,Soseaua Afumati,,44.515004,26.235657,,,,
5988,1440,Institutul Meteorologic,,44.501473,26.209068,,,,
5994,1441,Piata Presei,,44.478021,26.073311,,,,
5993,1448,Spatarul Preda,,44.413336,26.086615,,,,
5996,1449,Inclinata,,44.410463,26.089385,,,,
6004,1450,Stefan Hepites,,44.40739,26.09237,,,,
3211,1451,Soseaua Viilor,,44.411787,26.088934,,,,
3702,1460,Bd. Alexandru Ioan Cuza,,44.449656,26.078367,,,,
7469,1467,Oasului,,44.491588,26.027813,,,,
7400,1474,Sebastian,,44.419768,26.066471,,,,
7403,1476,Piata Chirigiu,,44.417441,26.082473,,,,
7421,1484,Aurel Vlaicu,,44.479589,26.099512,,,,
7438,1491,Piata Domenii,,44.465394,26.067121,,,,
7443,1493,Bufet,,44.320348,26.180227,,,,
7441,1494,Boadei,,44.317139,26.183386,,,,
7442,1495,Cofetarie,,44.313942,26.186854,,,,
3427,15,Teiul Doamnei,,44.456613,26.129837,,,,
3103,150,Piata Ion Mihalache,,44.458251,26.077627,,,,
3357,1501,Piata Hurmuzachi,,44.431316,26.139219,,,,
7321,1508,Calea Floreasca,,44.465855,26.10298,,,,
3104,151,Dr. Felix,,44.452142,26.08037,,,,
7307,1516,Stadion Olimpia,,44.411241,26.13589,,,,
7306,1519,C.E.T. Sud Vitan,,44.405992,26.148287,,,,
7285,1522,Stadion Olimpia,,44.411305,26.135963,,,,
7288,1527,Primaria Berceni,,44.3094,26.189069,,,,
7291,1528,Cofetarie,,44.313627,26.187174,,,,
7290,1529,Garibaldi,,44.465446,26.10582,,,,
7396,1530,Boadei,,44.316286,26.184358,,,,
7395,1531,Complex Comercial Apusului,,44.437949,26.014346,,,,
7397,1533,Bufet,,44.319753,26.180795,,,,
7398,1534,Nicolae Golescu,,44.44327,26.097305,,,,
7378,1540,Piata Crangasi,,44.452265,26.047441,,,,
7379,1541,Pasaj Grant,,44.45138,26.059074,,,,
7380,1542,Spitalul Dr. Panait Sarbu,,44.449487,26.061745,,,,
7382,1544,Gara de Nord,,44.445495,26.074289,,,,
10089,1545,Manastirea Cernica,,44.439384,26.260403,,,,
7375,1552,Gara de Nord,,44.44652,26.072955,,,,
7374,1554,Spitalul Dr. Panait Sarbu,,44.450333,26.06081,,,,
7372,1555,Pasaj Grant,,44.453765,26.057655,,,,
7373,1556,Piata Crangasi,,44.453075,26.04824,,,,
6426,156,Scoala Iancului,,44.439519,26.123758,,,,
7353,1560,Zetarilor,,44.387204,26.078366,,,,
7352,1561,Valtoarei,,44.389455,26.080349,,,,
7348,1562,Vadul Nou,,44.392435,26.08242,,,,
7349,1563,Piata Ferentarilor,,44.398748,26.082511,,,,
7350,1564,Armistitiului,,44.400329,26.077249,,,,
7351,1565,Soseaua Salaj,,44.40088,26.070921,,,,
7347,1566,Cap. Preda,,44.403555,26.066875,,,,
10110,1567,Manastirea Cernica,,44.439593,26.260033,,,,
6425,157,Piata Valea Ialomitei,,44.420485,26.020158,,,,
3861,1571,Bd. Iuliu Maniu,,44.433352,26.054247,,,,
3858,1572,Bd. Timisoara,,44.429975,26.054335,,,,
3666,1573,Mircea Vulcanescu,,44.440017,26.073424,,,,
7047,1576,Soseaua Fabrica de Glucoza,,44.474883,26.104296,,,,
7043,1577,Muntii Carpati,,44.40335,26.066171,,,,
7042,1578,Soseaua Salaj,,44.400259,26.071606,,,,
7046,1579,Armistitiului,,44.400298,26.077669,,,,
7048,1580,Piata Ferentarilor,,44.397912,26.083275,,,,
7049,1581,Vadul Nou,,44.393376,26.082945,,,,
7050,1582,Valtoarei,,44.390288,26.080758,,,,
7051,1583,Zetarilor,,44.386285,26.077636,,,,
8499,1586,Pantelimon,,44.439964,26.18451,,,,
7061,1588,Piata Ferentarilor,,44.398249,26.085977,,,,
7068,1590,Suhaia,,44.401714,26.091293,,,,
7066,1591,Piata Eroii Revolutiei,,44.404029,26.096041,,,,
7067,1592,I.M.G.B. Poarta 3,,44.364045,26.135151,,,,
7062,1593,Vulcan Berceni,,44.359548,26.13903,,,,
7064,1594,I.M.G.B. Poarta 3,,44.363839,26.135361,,,,
7072,1595,Suhaia,,44.401303,26.08999,,,,
3429,16,Doamna Ghica,,44.461631,26.132958,,,,
3142,160,Sebastian,,44.420362,26.064833,,,,
8594,1605,Branesti-Gara,,44.460221,26.334173,,,,
3127,161,Drumul Sarii,,44.41849,26.059257,,,,
8595,1613,Islaz,,44.45767,26.385785,,,,
12058,1617,Stirbei Voda,,44.437336,26.076838,,,,
3130,162,Cimitirul Ghencea,,44.41638,26.052424,,,,
6910,1622,Lunca Barzesti,,44.390813,26.127979,,,,
6912,1623,Stadion,,44.388566,26.133169,,,,
6911,1624,Soseaua Vitan Barzesti,,44.385456,26.140608,,,,
6897,1626,Institutul Sf. Maria,,44.381717,26.150882,,,,
6900,1627,Paraul Rece,,44.379951,26.159969,,,,
6899,1628,Cazanesti,,44.379937,26.164146,,,,
6904,1629,Primaria Popesti-Leordeni,,44.379774,26.168426,,,,
6954,1630,Viilor,,44.377078,26.173434,,,,
6953,1631,Viscofil,,44.372596,26.179551,,,,
6951,1632,Taberei,,44.369115,26.184286,,,,
6950,1633,Danubiana,,44.367142,26.19584,,,,
6949,1634,Soseaua Oltenitei,,44.364267,26.193693,,,,
6948,1635,Taberei,,44.368852,26.184762,,,,
6947,1636,Viscofil,,44.372211,26.180246,,,,
6946,1637,Viilor,,44.376777,26.174024,,,,
6945,1638,Primaria Popesti-Leordeni,,44.379607,26.169905,,,,
6944,1639,Cazanesti,,44.380033,26.16443,,,,
6933,1640,Paraul Rece,,44.380126,26.159387,,,,
6935,1641,Institutul Sf. Maria,,44.382069,26.150189,,,,
6929,1643,Soseaua Vitan Barzesti,,44.386606,26.138388,,,,
